Turn,Completed Tasks,Tasks/Turn
100,215,2.15
200,399,1.995
300,578,1.9266666666666667
400,775,1.9375
500,980,1.96
600,1177,1.9616666666666667
700,1380,1.9714285714285715
800,1574,1.9675
900,1773,1.97
1000,1969,1.969
1100,2156,1.96
1200,2358,1.965
1300,2552,1.9630769230769232
1400,2736,1.9542857142857142
1500,2937,1.958
1600,3134,1.95875
1700,3335,1.9617647058823529
1800,3536,1.9644444444444444
1900,3737,1.966842105263158
2000,3935,1.9675
2100,4119,1.9614285714285715
2200,4333,1.9695454545454545
2300,4514,1.962608695652174
2400,4705,1.9604166666666667
2500,4893,1.9572
2600,5096,1.96
2700,5316,1.968888888888889
2800,5500,1.9642857142857142
2900,5717,1.9713793103448276
3000,5905,1.9683333333333333
3100,6111,1.971290322580645
3200,6311,1.9721875
3300,6532,1.9793939393939395
3400,6717,1.9755882352941176
3500,6909,1.974
3600,7094,1.9705555555555556
3700,7313,1.9764864864864864
3800,7500,1.9736842105263157
3900,7680,1.9692307692307693
4000,7871,1.96775
4100,8065,1.9670731707317073
4200,8254,1.9652380952380952
4300,8437,1.962093023255814
4400,8649,1.965681818181818
4500,8830,1.9622222222222223
4600,9016,1.96
4700,9200,1.9574468085106382
4800,9379,1.9539583333333332
4900,9578,1.9546938775510203
5000,9791,1.9582
5100,9994,1.959607843137255
5200,10186,1.958846153846154
5300,10384,1.959245283018868
5400,10593,1.9616666666666667
5500,10797,1.963090909090909
5600,10997,1.96375
5700,11206,1.9659649122807017
5800,11407,1.9667241379310345
5900,11595,1.9652542372881356
6000,11797,1.9661666666666666
6100,11997,1.9667213114754099
6200,12191,1.9662903225806452
6300,12389,1.9665079365079365
6400,12588,1.966875
6500,12780,1.9661538461538461
6600,12977,1.9662121212121213
6700,13178,1.966865671641791
6800,13372,1.9664705882352942
6900,13557,1.9647826086956521
7000,13743,1.9632857142857143
7100,13936,1.9628169014084507
7200,14138,1.9636111111111112
7300,14336,1.9638356164383561
7400,14528,1.9632432432432432
7500,14716,1.9621333333333333
7600,14898,1.960263157894737
7700,15092,1.96
7800,15277,1.9585897435897437
7900,15479,1.959367088607595
8000,15691,1.961375
8100,15900,1.962962962962963
8200,16095,1.9628048780487806
8300,16300,1.963855421686747
8400,16500,1.9642857142857142
8500,16705,1.9652941176470589
8600,16927,1.9682558139534885
8700,17118,1.9675862068965517
8800,17324,1.9686363636363637
8900,17517,1.9682022471910112
9000,17719,1.9687777777777777
9100,17918,1.969010989010989
9200,18113,1.968804347826087
9300,18295,1.967204301075269
9400,18489,1.9669148936170213
9500,18692,1.967578947368421
9600,18878,1.9664583333333334
9700,19073,1.9662886597938145
9800,19260,1.9653061224489796
9900,19459,1.9655555555555555
10000,19649,1.9649
10100,19837,1.964059405940594
10200,20032,1.963921568627451
10300,20219,1.9630097087378642
10400,20413,1.9627884615384616
10500,20599,1.961809523809524
10600,20808,1.9630188679245284
10700,21010,1.9635514018691589
10800,21218,1.9646296296296297
10900,21418,1.9649541284403669
11000,21615,1.965
11100,21800,1.9639639639639639
11200,21999,1.9641964285714286
11300,22195,1.9641592920353983
11400,22400,1.9649122807017543
11500,22599,1.9651304347826086
11600,22796,1.9651724137931035
11700,22996,1.9654700854700855
11800,23196,1.9657627118644068
11900,23395,1.9659663865546217
12000,23605,1.9670833333333333
12100,23808,1.9676033057851239
12200,23979,1.9654918032786886
12300,24179,1.9657723577235773
12400,24377,1.9658870967741935
12500,24576,1.96608
12600,24775,1.9662698412698412
