Turn,Completed Tasks,Tasks/Turn
100,583,5.83
200,1176,5.88
300,1764,5.88
400,2340,5.85
500,2925,5.85
600,3498,5.83
700,4068,5.811428571428571
800,4620,5.775
900,5178,5.753333333333333
1000,5747,5.747
1100,6295,5.722727272727273
1200,6853,5.710833333333333
1300,7398,5.690769230769231
1400,7920,5.6571428571428575
1500,8460,5.64
1600,9042,5.65125
1700,9588,5.64
1800,10129,5.627222222222223
1900,10650,5.605263157894737
2000,11178,5.589
2100,11734,5.5876190476190475
2200,12264,5.574545454545454
2300,12804,5.56695652173913
2400,13338,5.5575
2500,13896,5.5584
2600,14449,5.557307692307693
2700,14976,5.546666666666667
2800,15540,5.55
2900,16056,5.536551724137931
3000,16590,5.53
3100,17135,5.52741935483871
3200,17676,5.52375
3300,18232,5.5248484848484845
3400,18792,5.527058823529412
3500,19356,5.530285714285714
3600,19895,5.526388888888889
3700,20443,5.525135135135135
3800,20994,5.524736842105263
3900,21539,5.522820512820513
4000,22048,5.512
4100,22585,5.508536585365854
4200,23155,5.5130952380952385
4300,23695,5.51046511627907
4400,24216,5.503636363636364
4500,24766,5.503555555555556
4600,25314,5.50304347826087
4700,25848,5.499574468085107
4800,26404,5.5008333333333335
4900,26944,5.498775510204082
5000,27450,5.49
5100,27967,5.483725490196078
5200,28506,5.481923076923077
5300,29058,5.482641509433963
5400,29574,5.476666666666667
5500,30121,5.476545454545454
5600,30678,5.4782142857142855
5700,31236,5.48
5800,31787,5.48051724137931
5900,32316,5.47728813559322
6000,32868,5.478
6100,33407,5.47655737704918
6200,33937,5.473709677419355
6300,34468,5.471111111111111
6400,34997,5.46828125
6500,35567,5.471846153846154
6600,36090,5.468181818181818
6700,36636,5.468059701492537
6800,37176,5.4670588235294115
6900,37710,5.465217391304348
7000,38256,5.465142857142857
7100,38822,5.467887323943662
7200,39342,5.464166666666666
7300,39900,5.465753424657534
7400,40440,5.464864864864865
7500,41004,5.4672
7600,41544,5.4663157894736845
7700,42084,5.465454545454546
7800,42624,5.464615384615384
7900,43194,5.467594936708861
8000,43738,5.46725
8100,44262,5.464444444444444
8200,44813,5.465
8300,45312,5.459277108433735
8400,45860,5.45952380952381
8500,46375,5.455882352941177
8600,46926,5.456511627906977
8700,47460,5.455172413793103
8800,47976,5.451818181818182
8900,48516,5.4512359550561795
9000,49074,5.4526666666666666
9100,49608,5.451428571428571
9200,50143,5.4503260869565215
9300,50688,5.450322580645161
9400,51241,5.451170212765957
9500,51804,5.453052631578947
9600,52362,5.454375
9700,52902,5.453814432989691
9800,53442,5.453265306122449
9900,53982,5.452727272727273
10000,54527,5.4527
10100,55079,5.453366336633663
10200,55619,5.452843137254902
10300,56172,5.453592233009709
10400,56694,5.451346153846154
10500,57234,5.450857142857143
10600,57768,5.449811320754717
10700,58320,5.450467289719626
10800,58842,5.448333333333333
10900,59382,5.44788990825688
11000,59922,5.447454545454545
11100,60443,5.445315315315315
11200,60978,5.444464285714286
11300,61512,5.44353982300885
11400,62026,5.440877192982456
11500,62550,5.439130434782609
11600,63108,5.440344827586207
11700,63662,5.441196581196581
11800,64200,5.440677966101695
11900,64746,5.440840336134454
12000,65281,5.440083333333333
12100,65814,5.439173553719009
12200,66347,5.43827868852459
12300,66859,5.435691056910569
12400,67392,5.434838709677419
12500,67938,5.43504
12600,68477,5.43468253968254
12700,69018,5.434488188976378
12800,69570,5.43515625
12900,70126,5.436124031007752
13000,70661,5.435461538461539
13100,71184,5.4338931297709925
13200,71719,5.433257575757576
13300,72247,5.4321052631578945
13400,72804,5.433134328358209
13500,73345,5.4329629629629625
13600,73878,5.4322058823529416
13700,74400,5.430656934306569
13800,74940,5.430434782608696
13900,75497,5.431438848920863
14000,76032,5.430857142857143
14100,76554,5.429361702127659
14200,77100,5.429577464788732
14300,77664,5.431048951048951
14400,78210,5.43125
14500,78744,5.430620689655172
14600,79302,5.4316438356164385
14700,79830,5.430612244897959
14800,80363,5.429932432432432
14900,80907,5.43
15000,81473,5.431533333333333
15100,82020,5.4317880794701985
15200,82566,5.431973684210527
15300,83106,5.431764705882353
15400,83646,5.431558441558441
15500,84186,5.4313548387096775
15600,84738,5.431923076923077
15700,85266,5.430955414012739
15800,85818,5.431518987341772
15900,86359,5.431383647798742
16000,86868,5.42925
16100,87402,5.428695652173913
16200,87912,5.426666666666667
16300,88466,5.427361963190184
16400,88992,5.4263414634146345
16500,89521,5.425515151515151
16600,90049,5.424638554216868
16700,90594,5.424790419161677
16800,91146,5.425357142857143
16900,91667,5.424082840236687
17000,92232,5.425411764705882
17100,92779,5.425672514619883
17200,93330,5.426162790697674
17300,93870,5.426011560693642
17400,94428,5.426896551724138
17500,94979,5.427371428571429
17600,95520,5.427272727272728
17700,96080,5.4282485875706215
17800,96612,5.4276404494382025
17900,97145,5.427094972067039
18000,97686,5.427
18100,98238,5.427513812154696
18200,98802,5.428681318681319
18300,99330,5.427868852459016
18400,99882,5.428369565217391
18500,100428,5.42854054054054
18600,100975,5.428763440860215
18700,101502,5.427914438502674
18800,102031,5.42718085106383
18900,102577,5.427354497354497
19000,103128,5.427789473684211
19100,103668,5.427643979057591
19200,104198,5.4269791666666665
19300,104748,5.4273575129533675
19400,105282,5.426907216494845
19500,105798,5.425538461538461
19600,106326,5.424795918367347
19700,106847,5.4237055837563455
19800,107376,5.423030303030303
19900,107921,5.423165829145729
20000,108450,5.4225
20100,108978,5.4217910447761195
20200,109525,5.422029702970297
20300,110046,5.420985221674877
20400,110609,5.4220098039215685
20500,111150,5.421951219512195
20600,111708,5.422718446601942
20700,112260,5.423188405797101
20800,112786,5.422403846153846
20900,113339,5.422918660287081
21000,113862,5.422
21100,114431,5.423270142180095
21200,114977,5.423443396226415
21300,115524,5.4236619718309855
21400,116064,5.423551401869159
21500,116616,5.424
21600,117144,5.423333333333333
21700,117690,5.4235023041474655
21800,118224,5.423119266055046
21900,118758,5.422739726027397
22000,119293,5.422409090909091
22100,119839,5.4225791855203616
22200,120397,5.423288288288289
22300,120948,5.423677130044843
22400,121470,5.4227678571428575
22500,122022,5.4232
22600,122569,5.423407079646018
22700,123126,5.424052863436123
22800,123671,5.424166666666666
22900,124200,5.423580786026201
23000,124747,5.423782608695652
23100,125291,5.423852813852814
23200,125838,5.424051724137931
23300,126396,5.424721030042918
23400,126936,5.424615384615384
23500,127434,5.422723404255319
23600,127962,5.422118644067797
23700,128496,5.421772151898734
23800,129037,5.42172268907563
23900,129595,5.422384937238494
24000,130122,5.42175
24100,130655,5.421369294605809
24200,131238,5.423057851239669
24300,131773,5.422757201646091
24400,132318,5.4228688524590165
24500,132875,5.423469387755102
24600,133429,5.423943089430894
24700,133968,5.423805668016194
24800,134490,5.422983870967742
24900,135025,5.422690763052209
25000,135551,5.42204
25100,136097,5.422191235059761
25200,136651,5.42265873015873
25300,137196,5.422766798418972
25400,137723,5.4221653543307085
25500,138263,5.422078431372549
25600,138780,5.42109375
25700,139337,5.421673151750973
