Turn,Completed Tasks,Tasks/Turn
100,168,1.68
200,302,1.51
300,465,1.55
400,610,1.525
500,748,1.496
600,895,1.4916666666666667
700,1043,1.49
800,1188,1.485
900,1329,1.4766666666666666
1000,1474,1.474
1100,1633,1.4845454545454546
1200,1772,1.4766666666666666
1300,1915,1.4730769230769232
1400,2049,1.4635714285714285
1500,2191,1.4606666666666666
1600,2347,1.466875
1700,2496,1.468235294117647
1800,2638,1.4655555555555555
1900,2772,1.4589473684210525
2000,2933,1.4665
2100,3077,1.4652380952380952
2200,3228,1.4672727272727273
2300,3376,1.4678260869565218
2400,3520,1.4666666666666666
2500,3653,1.4612
2600,3798,1.4607692307692308
2700,3957,1.4655555555555555
2800,4120,1.4714285714285715
2900,4259,1.4686206896551723
3000,4416,1.472
3100,4572,1.4748387096774194
3200,4729,1.4778125
3300,4868,1.475151515151515
3400,5000,1.4705882352941178
3500,5153,1.4722857142857142
3600,5304,1.4733333333333334
3700,5448,1.4724324324324325
3800,5590,1.4710526315789474
3900,5724,1.4676923076923076
4000,5881,1.47025
4100,6022,1.468780487804878
4200,6155,1.4654761904761904
4300,6297,1.4644186046511627
4400,6442,1.464090909090909
4500,6597,1.466
4600,6737,1.4645652173913044
4700,6876,1.4629787234042553
4800,7025,1.4635416666666667
4900,7162,1.4616326530612245
5000,7295,1.459
5100,7430,1.4568627450980391
5200,7573,1.456346153846154
5300,7720,1.4566037735849056
5400,7865,1.4564814814814815
5500,8009,1.4561818181818182
5600,8152,1.4557142857142857
5700,8306,1.4571929824561403
5800,8452,1.457241379310345
5900,8594,1.4566101694915254
6000,8730,1.455
6100,8880,1.455737704918033
6200,9028,1.4561290322580644
6300,9167,1.455079365079365
6400,9315,1.45546875
6500,9447,1.4533846153846153
6600,9592,1.4533333333333334
6700,9751,1.4553731343283582
6800,9891,1.4545588235294118
6900,10036,1.4544927536231884
7000,10179,1.4541428571428572
7100,10330,1.4549295774647888
7200,10475,1.4548611111111112
7300,10617,1.4543835616438356
7400,10761,1.4541891891891892
7500,10921,1.4561333333333333
7600,11060,1.4552631578947368
7700,11211,1.455974025974026
7800,11367,1.4573076923076924
7900,11499,1.4555696202531645
8000,11627,1.453375
8100,11781,1.4544444444444444
8200,11912,1.4526829268292683
8300,12056,1.4525301204819276
8400,12199,1.4522619047619048
8500,12343,1.4521176470588235
8600,12488,1.452093023255814
8700,12635,1.4522988505747128
8800,12789,1.4532954545454546
8900,12939,1.4538202247191012
9000,13082,1.4535555555555555
9100,13217,1.4524175824175825
9200,13354,1.4515217391304347
9300,13494,1.4509677419354838
9400,13633,1.4503191489361702
9500,13779,1.450421052631579
9600,13925,1.4505208333333333
9700,14069,1.4504123711340207
9800,14201,1.4490816326530611
9900,14345,1.448989898989899
10000,14486,1.4486
10100,14640,1.4495049504950495
10200,14775,1.4485294117647058
10300,14931,1.4496116504854368
10400,15081,1.4500961538461539
10500,15225,1.45
10600,15369,1.4499056603773586
10700,15514,1.4499065420560748
10800,15658,1.449814814814815
10900,15816,1.4510091743119267
11000,15959,1.4508181818181818
11100,16104,1.4508108108108109
11200,16233,1.449375
11300,16380,1.4495575221238939
11400,16538,1.4507017543859648
11500,16684,1.4507826086956521
11600,16824,1.450344827586207
11700,16951,1.448803418803419
11800,17092,1.4484745762711864
11900,17242,1.4489075630252102
12000,17382,1.4485
12100,17528,1.448595041322314
12200,17669,1.4482786885245902
12300,17811,1.4480487804878048
12400,17957,1.4481451612903227
12500,18113,1.44904
12600,18256,1.448888888888889
12700,18404,1.4491338582677165
12800,18538,1.44828125
12900,18670,1.4472868217054264
13000,18807,1.4466923076923077
13100,18944,1.4461068702290076
13200,19075,1.4450757575757576
13300,19221,1.445187969924812
13400,19377,1.446044776119403
13500,19525,1.4462962962962962
13600,19671,1.4463970588235293
13700,19816,1.4464233576642336
13800,19959,1.4463043478260869
13900,20106,1.4464748201438848
14000,20246,1.4461428571428572
14100,20386,1.4458156028368794
14200,20516,1.4447887323943662
14300,20659,1.4446853146853147
14400,20788,1.4436111111111112
14500,20926,1.4431724137931035
14600,21065,1.4428082191780822
14700,21201,1.4422448979591838
14800,21343,1.4420945945945947
14900,21507,1.4434228187919462
15000,21654,1.4436
15100,21803,1.443907284768212
15200,21938,1.4432894736842106
15300,22066,1.4422222222222223
15400,22208,1.442077922077922
15500,22349,1.4418709677419355
15600,22498,1.442179487179487
15700,22639,1.4419745222929936
15800,22787,1.4422151898734177
15900,22928,1.4420125786163522
16000,23058,1.441125
16100,23215,1.4419254658385092
16200,23364,1.4422222222222223
16300,23502,1.441840490797546
16400,23662,1.4428048780487805
16500,23807,1.4428484848484848
16600,23939,1.4421084337349397
16700,24096,1.4428742514970059
16800,24257,1.4438690476190477
16900,24404,1.4440236686390533
17000,24543,1.4437058823529412
17100,24692,1.4439766081871346
17200,24830,1.4436046511627907
17300,24975,1.44364161849711
17400,25108,1.4429885057471263
