Turn,Completed Tasks,Tasks/Turn
100,890,8.9
200,1715,8.575
300,2517,8.39
400,3308,8.27
500,4104,8.208
600,4910,8.183333333333334
700,5701,8.144285714285715
800,6503,8.12875
900,7265,8.072222222222223
1000,8014,8.014
1100,8770,7.972727272727273
1200,9526,7.9383333333333335
1300,10260,7.892307692307693
1400,11016,7.868571428571428
1500,11758,7.838666666666667
1600,12488,7.805
1700,13272,7.807058823529411
1800,13968,7.76
1900,14711,7.7426315789473685
2000,15444,7.722
2100,16199,7.713809523809524
2200,16943,7.701363636363636
2300,17676,7.685217391304348
2400,18468,7.695
2500,19208,7.6832
2600,19908,7.656923076923077
2700,20688,7.662222222222222
2800,21433,7.654642857142857
2900,22153,7.638965517241379
3000,22887,7.629
3100,23628,7.621935483870968
3200,24371,7.6159375
3300,25147,7.62030303030303
3400,25883,7.612647058823529
3500,26640,7.611428571428571
3600,27371,7.603055555555556
3700,28112,7.5978378378378375
3800,28834,7.587894736842105
3900,29592,7.587692307692308
4000,30339,7.58475
4100,31064,7.576585365853658
4200,31809,7.573571428571428
4300,32543,7.568139534883721
4400,33276,7.5627272727272725
4500,34016,7.559111111111111
4600,34753,7.555
4700,35484,7.549787234042554
4800,36201,7.541875
4900,36949,7.540612244897959
5000,37669,7.5338
5100,38397,7.528823529411765
5200,39129,7.524807692307692
5300,39882,7.5249056603773585
5400,40595,7.517592592592592
5500,41325,7.513636363636364
5600,42073,7.5130357142857145
5700,42817,7.511754385964912
5800,43557,7.509827586206897
5900,44280,7.505084745762712
6000,45048,7.508
6100,45791,7.50672131147541
6200,46523,7.503709677419355
6300,47300,7.507936507936508
6400,48035,7.50546875
6500,48792,7.506461538461538
6600,49524,7.503636363636364
6700,50286,7.505373134328358
6800,51022,7.503235294117647
6900,51757,7.501014492753623
7000,52502,7.500285714285714
7100,53232,7.497464788732394
7200,53963,7.494861111111111
7300,54719,7.495753424657535
7400,55463,7.495
7500,56196,7.4928
7600,56948,7.493157894736842
7700,57685,7.491558441558442
7800,58428,7.490769230769231
7900,59172,7.490126582278481
8000,59904,7.488
8100,60655,7.488271604938272
8200,61356,7.482439024390244
8300,62100,7.481927710843373
8400,62851,7.482261904761905
8500,63576,7.479529411764706
8600,64326,7.479767441860465
8700,65064,7.478620689655172
8800,65796,7.476818181818182
8900,66562,7.478876404494382
9000,67311,7.479
9100,68053,7.478351648351649
9200,68796,7.477826086956521
9300,69528,7.476129032258065
9400,70283,7.476914893617021
