Turn,Completed Tasks,Tasks/Turn
100,971,9.71
200,1919,9.595
300,2880,9.6
400,3795,9.4875
500,4715,9.43
600,5637,9.395
700,6549,9.355714285714285
800,7403,9.25375
900,8267,9.185555555555556
1000,9156,9.156
1100,9971,9.064545454545454
1200,10797,8.9975
1300,11614,8.933846153846154
1400,12420,8.871428571428572
1500,13284,8.856
1600,14147,8.841875
1700,15009,8.828823529411764
1800,15888,8.826666666666666
1900,16703,8.791052631578948
2000,17561,8.7805
2100,18464,8.792380952380952
2200,19332,8.787272727272727
2300,20195,8.780434782608696
2400,20988,8.745
2500,21811,8.7244
2600,22621,8.700384615384616
2700,23411,8.67074074074074
2800,24228,8.652857142857142
2900,25054,8.639310344827587
3000,25910,8.636666666666667
3100,26723,8.620322580645162
3200,27528,8.6025
3300,28365,8.595454545454546
3400,29207,8.590294117647058
3500,30024,8.578285714285714
3600,30846,8.568333333333333
3700,31676,8.561081081081081
3800,32484,8.548421052631578
3900,33287,8.535128205128204
4000,34091,8.52275
4100,34932,8.52
4200,35773,8.517380952380952
4300,36565,8.503488372093024
4400,37368,8.492727272727272
4500,38207,8.490444444444444
4600,39055,8.490217391304348
4700,39848,8.478297872340425
4800,40680,8.475
4900,41508,8.471020408163266
5000,42336,8.4672
5100,43159,8.462549019607843
5200,43968,8.455384615384615
5300,44748,8.443018867924529
5400,45576,8.44
5500,46404,8.437090909090909
5600,47254,8.438214285714286
5700,48054,8.430526315789473
5800,48847,8.421896551724139
5900,49656,8.416271186440678
6000,50472,8.412
6100,51286,8.407540983606557
6200,52123,8.406935483870967
6300,52953,8.405238095238095
6400,53774,8.4021875
6500,54610,8.401538461538461
6600,55440,8.4
6700,56254,8.396119402985075
6800,57084,8.394705882352941
6900,57911,8.392898550724638
7000,58751,8.393
7100,59507,8.381267605633802
7200,60295,8.374305555555555
7300,61080,8.367123287671232
7400,61914,8.366756756756757
7500,62748,8.3664
7600,63538,8.360263157894737
7700,64366,8.359220779220779
7800,65210,8.36025641025641
7900,66035,8.358860759493671
8000,66852,8.3565
8100,67716,8.36
8200,68544,8.359024390243903
8300,69444,8.366746987951807
8400,70286,8.367380952380952
8500,71130,8.368235294117648
8600,71941,8.365232558139535
8700,72769,8.364252873563219
8800,73559,8.358977272727273
8900,74405,8.360112359550563
9000,75239,8.35988888888889
9100,76104,8.363076923076923
9200,76932,8.362173913043478
9300,77771,8.36247311827957
9400,78574,8.358936170212766
9500,79438,8.361894736842105
9600,80277,8.3621875
9700,81083,8.359072164948454
9800,81898,8.356938775510205
9900,82728,8.356363636363636
10000,83604,8.3604
10100,84443,8.360693069306931
10200,85317,8.364411764705883
10300,86172,8.36621359223301
10400,86999,8.365288461538462
10500,87798,8.361714285714285
10600,88596,8.35811320754717
10700,89424,8.357383177570094
10800,90229,8.354537037037037
10900,91080,8.355963302752293
11000,91932,8.357454545454546
11100,92749,8.355765765765765
11200,93593,8.356517857142856
11300,94378,8.352035398230088
11400,95215,8.35219298245614
11500,96047,8.35191304347826
11600,96876,8.351379310344827
11700,97668,8.347692307692308
11800,98455,8.34364406779661
11900,99277,8.342605042016807
12000,100080,8.34
12100,100933,8.341570247933884
12200,101785,8.343032786885246
12300,102670,8.347154471544716
12400,103474,8.344677419354838
12500,104288,8.34304
12600,105144,8.344761904761905
12700,105995,8.346062992125985
12800,106825,8.345703125
12900,107640,8.344186046511627
13000,108459,8.343
13100,109355,8.347709923664123
13200,110160,8.345454545454546
13300,110985,8.344736842105263
13400,111814,8.344328358208955
13500,112667,8.345703703703704
13600,113532,8.347941176470588
13700,114336,8.345693430656935
13800,115164,8.345217391304347
13900,116028,8.347338129496404
14000,116806,8.343285714285715
14100,117627,8.342340425531916
14200,118451,8.34161971830986
14300,119304,8.342937062937063
14400,120157,8.344236111111112
14500,120947,8.341172413793103
14600,121751,8.339109589041096
14700,122532,8.335510204081633
14800,123372,8.335945945945946
14900,124224,8.337181208053691
15000,125063,8.337533333333333
15100,125856,8.334834437086093
15200,126677,8.334013157894736
15300,127488,8.332549019607843
15400,128299,8.331103896103896
15500,129158,8.332774193548387
15600,129936,8.329230769230769
15700,130788,8.330445859872611
15800,131616,8.330126582278481
15900,132431,8.328993710691824
16000,133236,8.32725
16100,134077,8.32776397515528
16200,134927,8.328827160493827
16300,135732,8.327116564417178
16400,136546,8.325975609756098
16500,137364,8.325090909090909
16600,138240,8.327710843373493
16700,139091,8.32880239520958
16800,139908,8.327857142857143
16900,140746,8.328165680473372
17000,141585,8.328529411764706
17100,142448,8.330292397660818
17200,143328,8.333023255813954
17300,144144,8.332023121387284
17400,144984,8.332413793103449
17500,145812,8.332114285714285
17600,146627,8.331079545454546
17700,147444,8.330169491525425
17800,148308,8.33191011235955
17900,149181,8.33413407821229
18000,149989,8.332722222222221
18100,150835,8.33342541436464
18200,151680,8.334065934065935
18300,152545,8.335792349726775
18400,153374,8.33554347826087
18500,154223,8.33637837837838
18600,155027,8.334784946236558
18700,155844,8.333903743315508
18800,156704,8.33531914893617
18900,157533,8.335079365079364
19000,158353,8.334368421052632
19100,159182,8.33413612565445
19200,159981,8.33234375
19300,160837,8.333523316062177
19400,161627,8.331288659793815
19500,162503,8.333487179487179
19600,163309,8.332091836734694
19700,164148,8.33238578680203
19800,164977,8.332171717171716
19900,165815,8.332412060301507
20000,166670,8.3335
20100,167495,8.333084577114429
20200,168336,8.333465346534654
20300,169219,8.33591133004926
20400,170094,8.337941176470588
20500,170904,8.336780487804878
20600,171750,8.337378640776699
20700,172581,8.337246376811594
20800,173446,8.33875
20900,174308,8.340095693779904
21000,175176,8.341714285714286
21100,175998,8.341137440758294
21200,176796,8.33943396226415
21300,177660,8.340845070422535
21400,178510,8.34158878504673
21500,179300,8.33953488372093
21600,180166,8.341018518518519
21700,181008,8.341382488479264
21800,181863,8.342339449541285
21900,182736,8.344109589041096
22000,183577,8.34440909090909
22100,184416,8.344615384615384
22200,185256,8.344864864864865
22300,186097,8.345156950672646
22400,186911,8.344241071428572
22500,187693,8.341911111111111
22600,188509,8.341106194690266
22700,189354,8.3415859030837
22800,190188,8.34157894736842
22900,191049,8.342751091703057
23000,191841,8.340913043478261
23100,192708,8.342337662337663
23200,193536,8.34206896551724
23300,194377,8.34236051502146
23400,195192,8.34153846153846
23500,196011,8.340893617021276
23600,196846,8.34093220338983
23700,197636,8.339071729957807
23800,198468,8.338991596638655
23900,199307,8.339205020920502
24000,200124,8.3385
24100,200975,8.339211618257261
24200,201802,8.338925619834711
24300,202599,8.337407407407408
24400,203428,8.337213114754098
24500,204288,8.338285714285714
24600,205128,8.338536585365853
24700,205956,8.3382995951417
24800,206832,8.34
24900,207642,8.339036144578314
25000,208464,8.33856
25100,209304,8.338804780876494
25200,210157,8.339563492063492
25300,210982,8.339209486166007
25400,211837,8.34003937007874
25500,212720,8.341960784313725
25600,213529,8.3409765625
25700,214379,8.341595330739299
25800,215208,8.34139534883721
25900,216083,8.342972972972973
26000,216897,8.342192307692308
26100,217726,8.34199233716475
26200,218496,8.339541984732824
26300,219307,8.338669201520913
26400,220090,8.336742424242424
26500,220887,8.335358490566037
26600,221699,8.33454887218045
26700,222565,8.335767790262173
