Turn,Completed Tasks,Tasks/Turn
100,589,5.89
200,1184,5.92
300,1763,5.876666666666667
400,2335,5.8375
500,2929,5.858
600,3518,5.863333333333333
700,4099,5.855714285714286
800,4669,5.83625
900,5219,5.7988888888888885
1000,5772,5.772
1100,6323,5.748181818181818
1200,6907,5.755833333333333
1300,7470,5.746153846153846
1400,8006,5.718571428571429
1500,8575,5.716666666666667
1600,9144,5.715
1700,9709,5.711176470588235
1800,10249,5.693888888888889
1900,10789,5.678421052631579
2000,11340,5.67
2100,11898,5.6657142857142855
2200,12456,5.661818181818182
2300,13013,5.657826086956522
2400,13566,5.6525
2500,14125,5.65
2600,14664,5.64
2700,15210,5.633333333333334
2800,15756,5.627142857142857
2900,16315,5.625862068965517
3000,16855,5.618333333333333
3100,17401,5.613225806451613
3200,17959,5.6121875
3300,18522,5.612727272727272
3400,19080,5.6117647058823525
3500,19644,5.612571428571429
3600,20202,5.611666666666666
3700,20760,5.610810810810811
3800,21312,5.608421052631579
3900,21852,5.603076923076923
4000,22387,5.59675
4100,22929,5.592439024390244
4200,23479,5.590238095238095
4300,24048,5.592558139534884
4400,24618,5.595
4500,25176,5.594666666666667
4600,25733,5.594130434782609
4700,26316,5.599148936170213
4800,26862,5.59625
4900,27432,5.598367346938775
5000,28002,5.6004
5100,28553,5.598627450980392
5200,29106,5.597307692307692
5300,29639,5.592264150943397
5400,30200,5.592592592592593
5500,30726,5.586545454545455
5600,31273,5.584464285714286
5700,31819,5.582280701754386
5800,32364,5.58
5900,32922,5.58
6000,33475,5.579166666666667
6100,33998,5.57344262295082
6200,34524,5.5683870967741935
6300,35088,5.569523809523809
6400,35615,5.56484375
6500,36157,5.562615384615385
6600,36733,5.5656060606060604
6700,37302,5.567462686567164
6800,37854,5.566764705882353
6900,38412,5.56695652173913
7000,38983,5.569
7100,39545,5.569718309859155
7200,40068,5.565
7300,40588,5.56
7400,41130,5.558108108108108
7500,41688,5.5584
7600,42228,5.556315789473684
7700,42786,5.556623376623377
7800,43349,5.557564102564102
7900,43902,5.557215189873418
8000,44448,5.556
8100,44971,5.551975308641976
8200,45518,5.550975609756097
8300,46057,5.549036144578313
8400,46626,5.550714285714286
8500,47178,5.55035294117647
8600,47730,5.55
8700,48282,5.549655172413793
8800,48833,5.549204545454545
8900,49392,5.549662921348315
9000,49950,5.55
9100,50508,5.5503296703296705
9200,51096,5.553913043478261
9300,51666,5.555483870967742
9400,52207,5.553936170212766
9500,52757,5.553368421052632
9600,53297,5.551770833333333
9700,53838,5.5503092783505155
9800,54396,5.550612244897959
9900,54968,5.552323232323232
10000,55530,5.553
10100,56088,5.553267326732673
10200,56646,5.553529411764706
10300,57204,5.5537864077669905
10400,57775,5.555288461538462
10500,58344,5.556571428571429
10600,58913,5.557830188679246
10700,59461,5.557102803738318
10800,60012,5.556666666666667
10900,60577,5.557522935779817
11000,61139,5.558090909090909
11100,61686,5.557297297297297
11200,62226,5.555892857142857
11300,62779,5.555663716814159
11400,63323,5.554649122807017
11500,63864,5.5533913043478265
11600,64421,5.553534482758621
11700,64980,5.553846153846154
11800,65515,5.5521186440677965
11900,66055,5.550840336134454
12000,66595,5.5495833333333335
12100,67140,5.548760330578513
12200,67680,5.547540983606558
12300,68214,5.545853658536585
