Turn,Completed Tasks,Tasks/Turn
100,594,5.94
200,1188,5.94
300,1777,5.923333333333333
400,2358,5.895
500,2947,5.894
600,3528,5.88
700,4086,5.837142857142857
800,4608,5.76
900,5129,5.698888888888889
1000,5652,5.652
1100,6163,5.602727272727273
1200,6696,5.58
1300,7206,5.5430769230769235
1400,7729,5.520714285714286
1500,8268,5.512
1600,8779,5.486875
1700,9283,5.460588235294118
1800,9822,5.456666666666667
1900,10327,5.435263157894737
2000,10854,5.427
2100,11369,5.413809523809523
2200,11849,5.385909090909091
2300,12377,5.381304347826087
2400,12857,5.357083333333334
2500,13381,5.3524
2600,13890,5.342307692307692
2700,14411,5.337407407407407
2800,14904,5.322857142857143
2900,15426,5.319310344827586
3000,15946,5.315333333333333
3100,16470,5.312903225806451
3200,16998,5.311875
3300,17489,5.29969696969697
3400,17992,5.291764705882353
3500,18510,5.288571428571428
3600,19020,5.283333333333333
3700,19535,5.27972972972973
3800,20034,5.272105263157894
3900,20538,5.266153846153846
4000,21058,5.2645
4100,21559,5.258292682926829
4200,22068,5.2542857142857144
4300,22584,5.252093023255814
4400,23088,5.247272727272727
4500,23596,5.243555555555556
4600,24090,5.23695652173913
4700,24598,5.233617021276595
4800,25092,5.2275
4900,25612,5.226938775510204
5000,26117,5.2234
5100,26615,5.218627450980392
5200,27144,5.22
5300,27648,5.216603773584906
5400,28169,5.216481481481481
5500,28690,5.216363636363637
5600,29213,5.216607142857143
5700,29713,5.2128070175438594
5800,30216,5.209655172413793
5900,30714,5.2057627118644065
6000,31200,5.2
6100,31710,5.198360655737705
6200,32233,5.198870967741936
6300,32742,5.1971428571428575
6400,33269,5.19828125
6500,33781,5.197076923076923
6600,34302,5.197272727272727
6700,34800,5.1940298507462686
6800,35321,5.194264705882353
6900,35826,5.1921739130434785
7000,36319,5.188428571428571
7100,36822,5.186197183098591
7200,37343,5.186527777777778
7300,37836,5.183013698630137
7400,38364,5.184324324324324
7500,38880,5.184
7600,39396,5.183684210526316
7700,39882,5.17948051948052
7800,40386,5.177692307692308
7900,40919,5.179620253164557
8000,41430,5.17875
8100,41921,5.175432098765432
8200,42421,5.173292682926829
8300,42946,5.174216867469879
8400,43452,5.172857142857143
8500,43973,5.173294117647059
8600,44490,5.173255813953489
8700,45011,5.173678160919541
8800,45497,5.170113636363636
8900,46032,5.172134831460674
9000,46536,5.1706666666666665
9100,47027,5.167802197802198
9200,47531,5.1664130434782605
9300,48040,5.165591397849463
9400,48552,5.165106382978723
9500,49074,5.165684210526316
9600,49590,5.165625
9700,50106,5.165567010309278
9800,50634,5.166734693877551
9900,51118,5.163434343434344
10000,51618,5.1618
10100,52100,5.158415841584159
10200,52601,5.156960784313726
10300,53143,5.1595145631067965
10400,53657,5.159326923076923
10500,54179,5.1599047619047615
10600,54702,5.160566037735849
10700,55205,5.159345794392523
10800,55715,5.1587962962962965
10900,56220,5.157798165137614
11000,56736,5.157818181818182
11100,57258,5.158378378378378
11200,57767,5.157767857142857
11300,58284,5.15787610619469
11400,58782,5.156315789473684
11500,59316,5.157913043478261
11600,59824,5.157241379310345
11700,60336,5.156923076923077
11800,60858,5.157457627118644
11900,61379,5.157899159663866
12000,61902,5.1585
12100,62400,5.1570247933884295
12200,62910,5.156557377049181
12300,63420,5.15609756097561
12400,63910,5.154032258064516
12500,64422,5.15376
12600,64918,5.152222222222222
12700,65453,5.153779527559055
12800,65975,5.154296875
12900,66491,5.154341085271318
13000,66996,5.153538461538462
13100,67518,5.154045801526718
