Turn,Completed Tasks,Tasks/Turn
100,46,0.46
200,82,0.41
300,123,0.41
400,160,0.4
500,214,0.428
600,250,0.4166666666666667
700,286,0.4085714285714286
800,323,0.40375
900,359,0.3988888888888889
1000,408,0.408
1100,431,0.39181818181818184
1200,482,0.40166666666666667
1300,518,0.3984615384615385
1400,552,0.3942857142857143
1500,585,0.39
1600,626,0.39125
1700,663,0.39
1800,699,0.3883333333333333
1900,737,0.38789473684210524
2000,785,0.3925
2100,834,0.39714285714285713
2200,875,0.3977272727272727
2300,916,0.3982608695652174
2400,952,0.39666666666666667
2500,998,0.3992
2600,1022,0.3930769230769231
2700,1075,0.39814814814814814
2800,1112,0.39714285714285713
2900,1161,0.4003448275862069
3000,1203,0.401
3100,1238,0.3993548387096774
3200,1295,0.4046875
3300,1341,0.40636363636363637
3400,1367,0.40205882352941175
3500,1401,0.4002857142857143
3600,1437,0.39916666666666667
3700,1473,0.3981081081081081
3800,1510,0.3973684210526316
3900,1560,0.4
4000,1595,0.39875
4100,1634,0.3985365853658537
4200,1680,0.4
4300,1708,0.3972093023255814
4400,1756,0.3990909090909091
4500,1796,0.39911111111111114
4600,1848,0.4017391304347826
4700,1882,0.4004255319148936
4800,1923,0.400625
4900,1959,0.39979591836734696
5000,1996,0.3992
5100,2034,0.3988235294117647
5200,2068,0.3976923076923077
5300,2122,0.40037735849056605
5400,2155,0.3990740740740741
5500,2187,0.3976363636363636
5600,2224,0.39714285714285713
5700,2263,0.3970175438596491
5800,2317,0.39948275862068966
5900,2373,0.40220338983050846
6000,2422,0.4036666666666667
6100,2456,0.40262295081967214
6200,2492,0.4019354838709677
6300,2529,0.4014285714285714
6400,2554,0.3990625
6500,2590,0.3984615384615385
6600,2626,0.3978787878787879
6700,2671,0.39865671641791045
6800,2711,0.3986764705882353
6900,2749,0.3984057971014493
7000,2789,0.3984285714285714
7100,2835,0.39929577464788735
7200,2873,0.39902777777777776
7300,2914,0.3991780821917808
7400,2949,0.3985135135135135
7500,2998,0.39973333333333333
7600,3038,0.39973684210526317
7700,3076,0.3994805194805195
7800,3110,0.39871794871794874
7900,3147,0.3983544303797468
8000,3195,0.399375
8100,3251,0.401358024691358
8200,3287,0.4008536585365854
8300,3327,0.4008433734939759
8400,3373,0.40154761904761904
8500,3410,0.4011764705882353
8600,3452,0.4013953488372093
8700,3492,0.4013793103448276
8800,3540,0.4022727272727273
8900,3574,0.4015730337078652
9000,3616,0.4017777777777778
9100,3667,0.40296703296703296
9200,3707,0.40293478260869564
9300,3759,0.40419354838709676
9400,3791,0.4032978723404255
9500,3829,0.4030526315789474
9600,3864,0.4025
9700,3903,0.4023711340206186
9800,3948,0.40285714285714286
9900,3991,0.4031313131313131
10000,4029,0.4029
10100,4075,0.4034653465346535
10200,4100,0.4019607843137255
10300,4139,0.40184466019417475
10400,4184,0.4023076923076923
10500,4226,0.4024761904761905
10600,4265,0.40235849056603773
10700,4316,0.4033644859813084
10800,4353,0.40305555555555556
10900,4391,0.4028440366972477
11000,4439,0.40354545454545454
11100,4477,0.4033333333333333
11200,4508,0.4025
11300,4548,0.4024778761061947
11400,4584,0.40210526315789474
11500,4622,0.40191304347826085
11600,4662,0.4018965517241379
11700,4697,0.40145299145299146
11800,4730,0.40084745762711865
11900,4766,0.40050420168067224
12000,4805,0.40041666666666664
12100,4841,0.40008264462809917
12200,4885,0.4004098360655738
12300,4930,0.4008130081300813
12400,4978,0.4014516129032258
12500,5015,0.4012
12600,5066,0.40206349206349207
12700,5109,0.40228346456692915
12800,5158,0.40296875
12900,5198,0.4029457364341085
13000,5252,0.404
13100,5290,0.40381679389312974
13200,5342,0.4046969696969697
13300,5378,0.4043609022556391
13400,5415,0.4041044776119403
13500,5448,0.40355555555555556
