Turn,Completed Tasks,Tasks/Turn
100,286,2.86
200,572,2.86
300,858,2.86
400,1143,2.8575
500,1429,2.858
600,1715,2.8583333333333334
700,2000,2.857142857142857
800,2286,2.8575
900,2572,2.8577777777777778
1000,2858,2.858
1100,3143,2.8572727272727274
1200,3429,2.8575
1300,3715,2.8576923076923078
1400,4000,2.857142857142857
1500,4286,2.8573333333333335
1600,4572,2.8575
1700,4858,2.857647058823529
1800,5143,2.857222222222222
1900,5429,2.8573684210526316
2000,5715,2.8575
2100,6000,2.857142857142857
2200,6286,2.8572727272727274
2300,6572,2.8573913043478263
2400,6858,2.8575
2500,7143,2.8572
2600,7429,2.857307692307692
2700,7715,2.8574074074074076
2800,8000,2.857142857142857
2900,8286,2.8572413793103446
3000,8572,2.8573333333333335
3100,8858,2.8574193548387097
3200,9143,2.8571875
3300,9429,2.8572727272727274
3400,9715,2.8573529411764707
3500,10000,2.857142857142857
3600,10286,2.857222222222222
3700,10572,2.8572972972972974
3800,10858,2.8573684210526316
3900,11143,2.8571794871794873
4000,11429,2.85725
4100,11715,2.857317073170732
4200,12000,2.857142857142857
4300,12286,2.8572093023255816
4400,12572,2.8572727272727274
4500,12858,2.8573333333333335
4600,13143,2.857173913043478
4700,13429,2.8572340425531917
4800,13715,2.857291666666667
4900,14000,2.857142857142857
5000,14286,2.8572
5100,14572,2.8572549019607845
5200,14858,2.857307692307692
5300,15143,2.857169811320755
5400,15429,2.857222222222222
5500,15715,2.8572727272727274
5600,16000,2.857142857142857
5700,16286,2.8571929824561404
5800,16572,2.8572413793103446
5900,16858,2.8572881355932203
6000,17143,2.8571666666666666
6100,17429,2.8572131147540984
6200,17715,2.857258064516129
6300,18000,2.857142857142857
6400,18286,2.8571875
6500,18572,2.8572307692307692
6600,18858,2.8572727272727274
6700,19143,2.8571641791044775
6800,19429,2.8572058823529414
6900,19715,2.8572463768115943
7000,20000,2.857142857142857
7100,20286,2.857183098591549
7200,20572,2.857222222222222
7300,20858,2.857260273972603
7400,21143,2.857162162162162
7500,21429,2.8572
7600,21715,2.857236842105263
7700,22000,2.857142857142857
7800,22286,2.8571794871794873
7900,22572,2.857215189873418
8000,22858,2.85725
8100,23143,2.8571604938271604
8200,23429,2.8571951219512197
8300,23715,2.8572289156626507
8400,24000,2.857142857142857
8500,24286,2.8571764705882354
8600,24572,2.8572093023255816
8700,24858,2.8572413793103446
8800,25143,2.8571590909090907
8900,25429,2.857191011235955
9000,25715,2.857222222222222
9100,26000,2.857142857142857
9200,26286,2.857173913043478
9300,26572,2.857204301075269
9400,26858,2.8572340425531917
9500,27143,2.857157894736842
9600,27429,2.8571875
9700,27715,2.857216494845361
9800,28000,2.857142857142857
9900,28286,2.8571717171717173
10000,28572,2.8572
10100,28858,2.857227722772277
10200,29143,2.857156862745098
10300,29429,2.8571844660194174
10400,29715,2.8572115384615384
10500,30000,2.857142857142857
10600,30286,2.857169811320755
10700,30572,2.857196261682243
10800,30858,2.857222222222222
10900,31143,2.8571559633027523
11000,31429,2.857181818181818
11100,31715,2.8572072072072072
11200,32000,2.857142857142857
11300,32286,2.85716814159292
11400,32572,2.8571929824561404
11500,32858,2.857217391304348
11600,33143,2.857155172413793
11700,33429,2.8571794871794873
11800,33715,2.8572033898305085
11900,34000,2.857142857142857
12000,34286,2.8571666666666666
12100,34572,2.857190082644628
12200,34858,2.8572131147540984
12300,35143,2.8571544715447152
12400,35429,2.8571774193548385
12500,35715,2.8572
12600,36000,2.857142857142857
12700,36286,2.8571653543307085
12800,36572,2.8571875
12900,36858,2.8572093023255816
13000,37143,2.857153846153846
13100,37429,2.857175572519084
13200,37715,2.85719696969697
13300,38000,2.857142857142857
13400,38286,2.8571641791044775
