Turn,Completed Tasks,Tasks/Turn
100,10,0.1
200,10,0.05
300,10,0.03333333333333333
400,10,0.025
500,10,0.02
600,10,0.016666666666666666
700,10,0.014285714285714285
800,10,0.0125
900,10,0.011111111111111112
1000,10,0.01
1100,10,0.00909090909090909
1200,10,0.008333333333333333
1300,10,0.007692307692307693
1400,10,0.007142857142857143
1500,10,0.006666666666666667
1600,10,0.00625
1700,10,0.0058823529411764705
1800,10,0.005555555555555556
1900,10,0.005263157894736842
2000,10,0.005
2100,10,0.004761904761904762
2200,10,0.004545454545454545
2300,10,0.004347826086956522
2400,10,0.004166666666666667
2500,10,0.004
2600,10,0.0038461538461538464
2700,10,0.003703703703703704
2800,10,0.0035714285714285713
2900,10,0.0034482758620689655
3000,10,0.0033333333333333335
3100,10,0.0032258064516129032
3200,10,0.003125
3300,10,0.0030303030303030303
3400,10,0.0029411764705882353
3500,10,0.002857142857142857
3600,10,0.002777777777777778
3700,10,0.002702702702702703
3800,10,0.002631578947368421
3900,10,0.002564102564102564
4000,10,0.0025
4100,10,0.0024390243902439024
4200,10,0.002380952380952381
4300,10,0.002325581395348837
4400,10,0.0022727272727272726
4500,10,0.0022222222222222222
4600,10,0.002173913043478261
4700,10,0.002127659574468085
4800,10,0.0020833333333333333
4900,10,0.0020408163265306124
5000,10,0.002
5100,10,0.00196078431372549
5200,10,0.0019230769230769232
5300,10,0.0018867924528301887
5400,10,0.001851851851851852
5500,10,0.0018181818181818182
5600,10,0.0017857142857142857
5700,10,0.0017543859649122807
5800,10,0.0017241379310344827
5900,10,0.001694915254237288
6000,10,0.0016666666666666668
6100,10,0.001639344262295082
6200,10,0.0016129032258064516
6300,10,0.0015873015873015873
6400,10,0.0015625
6500,10,0.0015384615384615385
6600,10,0.0015151515151515152
6700,10,0.0014925373134328358
6800,10,0.0014705882352941176
6900,10,0.0014492753623188406
7000,10,0.0014285714285714286
7100,10,0.0014084507042253522
7200,10,0.001388888888888889
7300,10,0.0013698630136986301
7400,10,0.0013513513513513514
7500,10,0.0013333333333333333
7600,10,0.0013157894736842105
7700,10,0.0012987012987012987
7800,10,0.001282051282051282
7900,10,0.0012658227848101266
8000,10,0.00125
8100,10,0.0012345679012345679
8200,10,0.0012195121951219512
8300,10,0.0012048192771084338
8400,10,0.0011904761904761906
8500,10,0.001176470588235294
8600,10,0.0011627906976744186
8700,10,0.0011494252873563218
8800,10,0.0011363636363636363
8900,10,0.0011235955056179776
9000,10,0.0011111111111111111
9100,10,0.001098901098901099
9200,10,0.0010869565217391304
9300,10,0.001075268817204301
9400,10,0.0010638297872340426
9500,10,0.0010526315789473684
9600,10,0.0010416666666666667
9700,10,0.0010309278350515464
9800,10,0.0010204081632653062
9900,10,0.00101010101010101
10000,10,0.001
10100,10,0.0009900990099009901
10200,10,0.000980392156862745
10300,10,0.000970873786407767
10400,10,0.0009615384615384616
10500,10,0.0009523809523809524
10600,10,0.0009433962264150943
10700,10,0.0009345794392523365
10800,10,0.000925925925925926
10900,10,0.0009174311926605505
11000,10,0.0009090909090909091
11100,10,0.0009009009009009009
11200,10,0.0008928571428571428
11300,10,0.0008849557522123894
11400,10,0.0008771929824561404
11500,10,0.0008695652173913044
11600,10,0.0008620689655172414
11700,10,0.0008547008547008547
11800,10,0.000847457627118644
11900,10,0.0008403361344537816
12000,10,0.0008333333333333334
12100,10,0.0008264462809917355
12200,10,0.000819672131147541
12300,10,0.0008130081300813008
12400,10,0.0008064516129032258
12500,10,0.0008
12600,10,0.0007936507936507937
12700,10,0.0007874015748031496
12800,10,0.00078125
